"Time","8508A"
2025-01-05 15:05:14,9.9713680 V
2025-01-05 15:05:44,9.9713630 V
2025-01-05 15:06:14,9.9713650 V
2025-01-05 15:06:44,9.9713660 V
2025-01-05 15:07:14,9.9713660 V
2025-01-05 15:07:44,9.9713650 V
2025-01-05 15:08:15,9.9713660 V
2025-01-05 15:08:45,9.9713680 V
2025-01-05 15:09:15,9.9713650 V
2025-01-05 15:09:45,9.9713660 V
2025-02-01 12:17:19,9.9713590 V
2025-02-01 12:17:49,9.9713590 V
2025-02-01 12:18:19,9.9713580 V
2025-02-01 12:18:49,9.9713580 V
2025-02-01 12:19:19,9.9713570 V
2025-02-01 12:19:49,9.9713580 V
2025-02-01 12:20:19,9.9713560 V
2025-02-01 12:20:49,9.9713570 V
2025-02-01 12:21:20,9.9713580 V
2025-02-01 12:21:50,9.9713560 V
2025-02-01 12:22:20,9.9713580 V
2025-02-01 12:22:50,9.9713550 V
2025-02-01 12:23:20,9.9713590 V
2025-02-01 12:23:50,9.9713560 V
2025-02-01 12:24:20,9.9713570 V
2025-02-01 12:24:50,9.9713560 V
2025-02-01 12:25:21,9.9713560 V
2025-02-01 12:25:51,9.9713580 V
2025-02-01 12:26:21,9.9713580 V
2025-02-01 12:26:51,9.9713580 V
2025-02-01 12:27:21,9.9713550 V
2025-02-01 12:27:51,9.9713550 V
2025-02-01 12:28:21,9.9713570 V
2025-02-01 12:28:51,9.9713570 V
2025-02-01 12:29:22,9.9713590 V
2025-02-01 12:29:52,9.9713600 V
2025-02-01 12:30:22,9.9713590 V
2025-02-01 12:30:52,9.9713610 V
2025-02-01 12:31:22,9.9713560 V
2025-02-01 12:31:52,9.9713590 V
2025-02-01 12:32:22,9.9713560 V
2025-02-01 12:32:52,9.9713570 V
2025-02-01 12:33:23,9.9713580 V
2025-02-01 12:33:53,9.9713620 V
2025-02-01 12:34:23,9.9713600 V
2025-02-01 12:34:53,9.9713610 V
2025-02-01 12:35:23,9.9713580 V
2025-02-01 12:35:53,9.9713600 V
2025-02-01 12:36:23,9.9713600 V
2025-02-01 12:36:53,9.9713590 V
2025-02-01 12:37:24,9.9713600 V
2025-02-01 12:37:54,9.9713610 V
2025-02-01 12:38:24,9.9713630 V
2025-02-01 12:38:54,9.9713590 V
2025-02-01 12:39:24,9.9713580 V
2025-02-01 12:39:54,9.9713610 V
2025-02-01 12:40:24,9.9713590 V
2025-02-01 12:40:54,9.9713580 V
2025-02-01 12:41:25,9.9713610 V
2025-02-01 12:41:55,9.9713580 V
2025-02-01 12:42:25,9.9713620 V
2025-02-01 12:42:55,9.9713590 V
2025-02-01 12:43:25,9.9713580 V
2025-02-01 12:43:55,9.9713580 V
2025-02-01 12:44:25,9.9713620 V
2025-02-01 12:44:56,9.9713600 V
2025-02-01 12:45:26,9.9713570 V
2025-02-01 12:45:56,9.9713570 V
2025-02-01 12:46:26,9.9713580 V
2025-02-01 12:46:56,9.9713580 V
2025-02-01 12:47:26,9.9713590 V
2025-02-01 12:47:56,9.9713590 V
2025-02-01 12:48:26,9.9713590 V
2025-02-01 12:48:57,9.9713560 V
2025-02-01 12:49:27,9.9713600 V
2025-02-01 12:49:57,9.9713580 V
2025-02-01 12:50:27,9.9713600 V
2025-02-01 12:50:57,9.9713590 V
2025-02-01 12:51:27,9.9713590 V
2025-02-01 12:51:57,9.9713600 V
2025-02-01 12:52:27,9.9713590 V
2025-02-01 12:52:58,9.9713590 V
2025-02-01 12:53:28,9.9713590 V
2025-02-01 12:53:58,9.9713620 V
2025-02-01 12:54:28,9.9713590 V
2025-02-01 12:54:58,9.9713580 V
2025-02-01 12:55:28,9.9713560 V
2025-02-01 12:55:58,9.9713560 V
2025-02-01 12:56:28,9.9713560 V
2025-02-01 12:56:59,9.9713620 V
2025-02-01 12:57:29,9.9713620 V
2025-02-01 12:57:59,9.9713590 V
2025-02-01 12:58:29,9.9713580 V
2025-02-01 12:58:59,9.9713590 V
2025-02-01 12:59:29,9.9713580 V
2025-02-01 12:59:59,9.9713610 V
2025-02-01 13:00:29,9.9713550 V
2025-02-01 13:01:00,9.9713570 V
2025-02-01 13:01:30,9.9713580 V
2025-02-01 13:02:00,9.9713590 V
2025-02-01 13:02:30,9.9713580 V
2025-02-01 13:03:00,9.9713590 V
2025-02-01 13:03:30,9.9713570 V
2025-02-01 13:04:00,9.9713600 V
2025-02-01 13:04:30,9.9713590 V
2025-02-01 13:05:01,9.9713580 V
2025-02-01 13:05:31,9.9713580 V
2025-02-01 13:06:01,9.9713590 V
2025-02-01 13:06:31,9.9713600 V
2025-02-01 13:07:01,9.9713580 V
2025-02-01 13:07:31,9.9713620 V
2025-02-01 13:08:01,9.9713580 V
2025-02-01 13:08:31,9.9713600 V
2025-02-01 13:09:02,9.9713600 V
2025-02-01 13:09:32,9.9713600 V
2025-02-01 13:10:02,9.9713590 V
2025-02-01 13:10:32,9.9713590 V
2025-02-01 13:11:02,9.9713590 V
2025-02-01 13:11:32,9.9713590 V
2025-02-01 13:12:02,9.9713590 V
2025-02-01 13:12:33,9.9713590 V
2025-02-01 13:13:03,9.9713600 V
2025-02-01 13:13:33,9.9713600 V
2025-02-01 13:14:03,9.9713580 V
2025-02-01 13:14:33,9.9713600 V
2025-02-01 13:15:03,9.9713600 V
2025-02-01 13:15:33,9.9713610 V
2025-02-01 13:16:03,9.9713600 V
2025-02-01 13:16:34,9.9713580 V
2025-02-01 13:17:04,9.9713600 V
2025-02-01 13:17:34,9.9713590 V
2025-02-01 13:18:04,9.9713620 V
2025-02-01 13:18:34,9.9713610 V